"DMC 725","topaz",51,0.00,0.1
"DMC 726","topaz -lt",35,0.00,0.1
"DMC 727","topaz - vy lt",30,0.00,0.1
"DMC 728","golden yellow",330,0.00,0.3
"DMC 729","old gold - md",45,0.00,0.1
"DMC 730","olive green - vy dk",416,0.00,0.4
"DMC 731","olive green - dk",336,0.00,0.3
"DMC 733","olive green - md",1038,0.00,0.9
"DMC 734","olive green - lt",262,0.00,0.2
"DMC 738","tan - vy lt",8,0.00,0.1
"DMC 739","tan - ul vy lt",1,0.00,0.1
"DMC 741","tangerine - md",78,0.00,0.1
"DMC 744","yellow - pl",1,0.00,0.1
"DMC 745","yellow - lt pl",2,0.00,0.1
"DMC 746","off white",2,0.00,0.1
"DMC 747","sky blue - vy lt",22,0.00,0.1
"DMC 758","terra cotta - vy lt",6,0.00,0.1
"DMC 762","pearl gray - vy lt",16,0.00,0.1
"DMC 772","yellow green - vy lt",14,0.00,0.1
"DMC 775","baby blue - vy lt",245,0.00,0.2
"DMC 776","pink - md",1,0.00,0.1
"DMC 777","raspberry - vy dk",83,0.00,0.1
"DMC 779","cocoa - dk",4,0.00,0.1
"DMC 780","topaz - ul vy dk",147,0.00,0.1
"DMC 781","topaz - vy dk",142,0.00,0.1
"DMC 783","topaz - md",275,0.00,0.2
"DMC 791","cornflower blue - vy dk",6,0.00,0.1
"DMC 792","cornflower blue - dk",11,0.00,0.1
"DMC 793","cornflower blue - md",25,0.00,0.1
"DMC 794","cornflower blue - lt",11,0.00,0.1
"DMC 799","delft blue - md",3,0.00,0.1
"DMC 800","delft blue - pl",107,0.00,0.1
"DMC 801","coffee brown - dk",213,0.00,0.2
"DMC 803","baby blue - ul vy dk",1,0.00,0.1
"DMC 806","peacock blue - dk",3,0.00,0.1
"DMC 807","peacock blue",8,0.00,0.1
"DMC 809","delft blue",1,0.00,0.1
"DMC 813","blue - lt",3,0.00,0.1
"DMC 814","garnet - dk",258,0.00,0.2
"DMC 815","garnet - md",357,0.00,0.3
"DMC 816","garnet",596,0.00,0.5
"DMC 817","coral red - vy dk",594,0.00,0.5
"DMC 822","beige gray - lt",9,0.00,0.1
"DMC 823","navy blue - dk",3,0.00,0.1
"DMC 825","blue - dk",1,0.00,0.1
"DMC 826","blue - md",1,0.00,0.1
"DMC 827","blue - vy lt",11,0.00,0.1
"DMC 828","blue - ul vy lt",8,0.00,0.1
"DMC 829","golden olive - vy dk",156,0.00,0.1
"DMC 830","golden olive - dk",99,0.00,0.1
"DMC 831","golden olive - md",249,0.00,0.2
"DMC 832","golden olive",436,0.00,0.4
"DMC 833","golden olive - lt",72,0.00,0.1
"DMC 834","golden olive - vy lt",19,0.00,0.1
"DMC 838","beige brown - vy dk",154,0.00,0.1
"DMC 839","beige brown - dk",44,0.00,0.1
"DMC 840","beige brown - md",11,0.00,0.1
"DMC 841","beige brown - lt",10,0.00,0.1
"DMC 842","beige brown - vy lt",1,0.00,0.1
"DMC 844","beaver gray - ul dk",982,0.00,0.8
"DMC 869","hazel nut brown - vy dk",74,0.00,0.1
"DMC 890","pistachio green - ul dk",163,0.00,0.1
"DMC 895","hunter green - vy dk",921,0.00,0.8
"DMC 898","coffee brown - vy dk",336,0.00,0.3
"DMC 899","rose - md",4,0.00,0.1
"DMC 900","burnt orange - dk",322,0.00,0.3
"DMC 902","garnet - vy dk",70,0.00,0.1
"DMC 904","parrot green - vy dk",49,0.00,0.1
"DMC 905","parrot green - dk",60,0.00,0.1
"DMC 906","parrot green - md",55,0.00,0.1
"DMC 907","parrot green - lt",72,0.00,0.1
"DMC 918","red copper - dk",623,0.00,0.5
"DMC 919","red copper",455,0.00,0.4
"DMC 920","copper - md",494,0.00,0.4
"DMC 921","copper",193,0.00,0.2
"DMC 922","copper -lt",27,0.00,0.1
"DMC 924","gray green - vy dk",18,0.00,0.1
"DMC 926","gray green - md",352,0.00,0.3
"DMC 927","gray green - lt",463,0.00,0.4
"DMC 928","gray green - vy lt",245,0.00,0.2
"DMC 930","antique blue - dk",28,0.00,0.1
"DMC 931","antique blue - md",30,0.00,0.1
"DMC 932","antique blue - lt",137,0.00,0.1
"DMC 934","black avocado green",3119,0.00,2.6
"DMC 935","avocado green - dk",2962,0.00,2.5
"DMC 936","avocado green - vy dk",3218,0.00,2.7
"DMC 937","avocado green - md",1405,0.00,1.2
"DMC 938","coffee brown - ul dk",602,0.00,0.5
"DMC 939","navy blue - vy dk",173,0.00,0.2
"DMC 946","burnt orange - md",316,0.00,0.3
"DMC 947","burnt orange",441,0.00,0.4
"DMC 950","desert sand - lt",1,0.00,0.1
"DMC 962","dusty rose - md",1,0.00,0.1
"DMC 964","seagreen - lt",1,0.00,0.1
"DMC 966","baby green - md",6,0.00,0.1
"DMC 970","pumpkin - lt",290,0.00,0.3
"DMC 972","canary - dp",238,0.00,0.2
"DMC 973","canary - br",66,0.00,0.1
"DMC 975","golden brown - dk",131,0.00,0.1
"DMC 976","golden brown - md",53,0.00,0.1
"DMC 977","golden brown - lt",40,0.00,0.1
"DMC 986","forest green - vy dk",2,0.00,0.1
"DMC 987","forest green - dk",5,0.00,0.1
"DMC 988","forest green - md",1,0.00,0.1
"DMC 989","forest green",14,0.00,0.1
"DMC 3011","khaki green - dk",594,0.00,0.5
"DMC 3012","khaki green - md",222,0.00,0.2
"DMC 3013","khaki green - lt",64,0.00,0.1
"DMC 3021","brown gray - vy dk",572,0.00,0.5
"DMC 3022","brown gray - md",149,0.00,0.1
"DMC 3023","brown gray - lt",95,0.00,0.1
"DMC 3024","brown gray - vy lt",59,0.00,0.1
"DMC 3031","mocha brown - vy dk",135,0.00,0.1
"DMC 3032","mocha brown - md",31,0.00,0.1
"DMC 3033","mocha brown - vy lt",1,0.00,0.1
"DMC 3041","antique violet - md",5,0.00,0.1
"DMC 3045","yellow beige - dk",12,0.00,0.1
"DMC 3046","yellow beige - md",20,0.00,0.1
"DMC 3047","yellow beige - lt",35,0.00,0.1
"DMC 3051","green gray - dk",521,0.00,0.4
"DMC 3052","green gray - md",670,0.00,0.6
"DMC 3053","green gray",202,0.00,0.2
"DMC 3064","desert sand",8,0.00,0.1
"DMC 3072","beaver gray - vy lt",55,0.00,0.1
"DMC 3078","golden yellow - vy lt",21,0.00,0.1
"DMC 3325","baby blue - lt",173,0.00,0.2
"DMC 3328","salmon - dk",12,0.00,0.1
"DMC 3345","hunter green - dk",31,0.00,0.1
"DMC 3347","yellow green - md",8,0.00,0.1
"DMC 3348","yellow green - lt",16,0.00,0.1
"DMC 3350","dusty rose - ul dk",1,0.00,0.1
"DMC 3362","pine green - dk",287,0.00,0.2
"DMC 3363","pine green - md",154,0.00,0.1
"DMC 3364","pine green",205,0.00,0.2
"DMC 3371","black brown",126,0.00,0.1
"DMC 3705","melon - dk",5,0.00,0.1
"DMC 3712","salmon - md",2,0.00,0.1
"DMC 3721","shell pink - dk",3,0.00,0.1
"DMC 3722","shell pink - md",8,0.00,0.1
